0,1,2,3,4,5,6,7,8,9,10
root vegetables,yogurt,butter,yogurt,,,,,,,
margarine,whole milk,,,,,,,,,
pip fruit,berries,white wine,other vegetables,,,,,,,
sausage,grapes,berries,curd,,,,,,,
sausage,bottled beer,onions,other vegetables,soda,,,,,,
root vegetables,newspapers,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
dessert,tropical fruit,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
beef,long life bakery product,,,,,,,,,
frozen dessert,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
whole milk,pastry,,,,,,,,,
yogurt,soda,frozen vegetables,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
root vegetables,other vegetables,whipped/sour cream,sweet spreads,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
onions,root vegetables,bottled water,,,,,,,,
ice cream,herbs,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
brown bread,brown bread,,,,,,,,,
soda,soda,,,,,,,,,
pork,canned beer,,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
ice cream,flower (seeds),,,,,,,,,
coffee,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
popcorn,long life bakery product,,,,,,,,,
sausage,curd,margarine,,,,,,,,
waffles,whole milk,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
bottled water,grapes,,,,,,,,,
yogurt,salty snack,,,,,,,,,
soda,chewing gum,rolls/buns,flour,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
root vegetables,rolls/buns,whole milk,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
onions,root vegetables,,,,,,,,,
whole milk,other vegetables,white bread,,,,,,,,
domestic eggs,margarine,,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
berries,frozen meals,,,,,,,,,
yogurt,root vegetables,waffles,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
berries,pastry,soda,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
other vegetables,sausage,tropical fruit,whipped/sour cream,salty snack,oil,,,,,
other vegetables,meat spreads,,,,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
sausage,beef,salty snack,,,,,,,,
beverages,specialty bar,,,,,,,,,
onions,oil,,,,,,,,,
whole milk,brown bread,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
rolls/buns,soda,,,,,,,,,
grapes,hard cheese,,,,,,,,,
soda,frozen meals,,,,,,,,,
whole milk,organic sausage,specialty bar,yogurt,,,,,,,
oil,yogurt,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
house keeping products,newspapers,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
frankfurter,UHT-milk,,,,,,,,,
frankfurter,mustard,shopping bags,,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
sausage,tropical fruit,yogurt,rolls/buns,margarine,shopping bags,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sausage,newspapers,,,,,,,,,
tropical fruit,whole milk,fruit/vegetable juice,whole milk,,,,,,,
root vegetables,curd,,,,,,,,,
sausage,bottled water,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
sausage,other vegetables,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
sugar,bottled water,,,,,,,,,
soda,hard cheese,,,,,,,,,
root vegetables,coffee,soda,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
hamburger meat,pork,chicken,whole milk,,,,,,,
other vegetables,canned beer,,,,,,,,,
meat,specialty cheese,,,,,,,,,
ham,whole milk,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
ice cream,hygiene articles,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
ham,rum,,,,,,,,,
coffee,oil,newspapers,,,,,,,,
pip fruit,newspapers,root vegetables,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
berries,brown bread,,,,,,,,,
ham,other vegetables,,,,,,,,,
salty snack,sugar,,,,,,,,,
white bread,brown bread,,,,,,,,,
frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
chicken,soda,,,,,,,,,
bottled water,white bread,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
snack products,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
pork,citrus fruit,chocolate marshmallow,white bread,whipped/sour cream,,,,,,
other vegetables,bottled beer,,,,,,,,,
beverages,shopping bags,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
citrus fruit,chewing gum,frozen vegetables,margarine,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
pip fruit,dessert,,,,,,,,,
specialty bar,brown bread,,,,,,,,,
butter,soda,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
ham,yogurt,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
frankfurter,hygiene articles,bottled beer,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
meat,newspapers,cleaner,,,,,,,,
butter,chewing gum,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,citrus fruit,soda,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
white wine,ice cream,,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
soda,hamburger meat,,,,,,,,,
newspapers,salty snack,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
butter,root vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
soda,pip fruit,,,,,,,,,
pickled vegetables,hygiene articles,,,,,,,,,
whole milk,margarine,,,,,,,,,
frankfurter,pastry,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
beverages,bottled water,,,,,,,,,
dessert,coffee,whole milk,cream cheese ,,,,,,,
meat,bottled water,,,,,,,,,
frankfurter,liver loaf,canned vegetables,condensed milk,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
rolls/buns,soda,red/blush wine,,,,,,,,
candy,sausage,other vegetables,frozen vegetables,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
newspapers,shopping bags,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
ice cream,herbs,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
root vegetables,bottled beer,,,,,,,,,
salty snack,other vegetables,shopping bags,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
cat food,shopping bags,,,,,,,,,
whole milk,butter,,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
yogurt,butter milk,,,,,,,,,
soda,soda,,,,,,,,,
berries,white bread,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
coffee,salty snack,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sausage,butter,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
canned beer,berries,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
dessert,shopping bags,flour,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,pastry,,,,,,,,,
dish cleaner,soda,,,,,,,,,
other vegetables,cat food,,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
root vegetables,butter,specialty bar,domestic eggs,,,,,,,
yogurt,yogurt,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
candles,canned fish,oil,,,,,,,,
soda,candy,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
yogurt,chocolate,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
domestic eggs,yogurt,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
liquor,brandy,,,,,,,,,
whole milk,beef,canned beer,,,,,,,,
liquor,Instant food products,,,,,,,,,
herbs,cereals,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
other vegetables,dog food,,,,,,,,,
whole milk,tropical fruit,chocolate,,,,,,,,
domestic eggs,bottled water,kitchen towels,,,,,,,,
yogurt,mustard,,,,,,,,,
yogurt,coffee,,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
finished products,whole milk,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
herbs,chocolate,,,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
hamburger meat,pastry,cereals,,,,,,,,
spices,shopping bags,soda,newspapers,,,,,,,
whole milk,domestic eggs,,,,,,,,,
soda,mustard,,,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
coffee,sausage,shopping bags,specialty bar,red/blush wine,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
newspapers,shopping bags,,,,,,,,,
yogurt,whole milk,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
frankfurter,beef,frozen fish,rice,napkins,,,,,,
beef,napkins,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
other vegetables,napkins,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
other vegetables,margarine,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
other vegetables,butter,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
red/blush wine,sausage,soda,whole milk,rolls/buns,,,,,,
citrus fruit,bottled water,,,,,,,,,
sausage,soda,cream cheese ,,,,,,,,
whole milk,whole milk,,,,,,,,,
white bread,flour,,,,,,,,,
chicken,pip fruit,,,,,,,,,
whole milk,salty snack,rolls/buns,,,,,,,,
whole milk,candy,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
onions,soda,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
whole milk,misc. beverages,,,,,,,,,
curd,soda,,,,,,,,,
salty snack,sugar,,,,,,,,,
whole milk,grapes,,,,,,,,,
beef,bottled water,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
grapes,other vegetables,,,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
curd,sausage,,,,,,,,,
curd,whole milk,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
napkins,other vegetables,,,,,,,,,
fruit/vegetable juice,canned beer,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
soda,pip fruit,coffee,,,,,,,,
citrus fruit,waffles,,,,,,,,,
soda,ham,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
whole milk,whole milk,,,,,,,,,
soda,dish cleaner,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
meat,pip fruit,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,butter,waffles,,,,,,,,
beef,bottled beer,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
soda,root vegetables,,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
citrus fruit,bottled beer,ice cream,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chicken,coffee,,,,,,,,,
sausage,pastry,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
other vegetables,whole milk,house keeping products,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
bottled beer,whole milk,,,,,,,,,
yogurt,napkins,,,,,,,,,
soda,butter milk,soda,,,,,,,,
sausage,rolls/buns,waffles,,,,,,,,
dental care,curd,,,,,,,,,
citrus fruit,jam,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
pickled vegetables,cling film/bags,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
onions,pastry,soda,,,,,,,,
pork,tropical fruit,,,,,,,,,
bottled beer,dishes,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
butter,rolls/buns,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
chocolate,dessert,flour,,,,,,,,
other vegetables,coffee,,,,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
baking powder,bottled water,,,,,,,,,
pastry,chewing gum,,,,,,,,,
curd,spices,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
pastry,waffles,,,,,,,,,
onions,ice cream,,,,,,,,,
white bread,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
hard cheese,coffee,,,,,,,,,
sausage,dessert,,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
frankfurter,cream cheese ,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
root vegetables,beef,,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
pork,pastry,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
meat,pip fruit,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
sweet spreads,frozen fish,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
frankfurter,pet care,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
soda,frozen vegetables,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
curd,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,margarine,,,,,,,,,
sausage,bottled water,,,,,,,,,
whole milk,root vegetables,sausage,frozen vegetables,chocolate,,,,,,
specialty bar,waffles,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beef,napkins,,,,,,,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
hamburger meat,pastry,flour,,,,,,,,
chicken,nut snack,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
dessert,semi-finished bread,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
ham,yogurt,,,,,,,,,
tropical fruit,berries,mayonnaise,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
sausage,butter milk,beverages,,,,,,,,
oil,flour,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
berries,whole milk,,,,,,,,,
napkins,whole milk,chocolate marshmallow,,,,,,,,
onions,margarine,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
other vegetables,margarine,,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
dishes,shopping bags,brown bread,white bread,,,,,,,
tropical fruit,flour,,,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
pip fruit,hard cheese,,,,,,,,,
bottled water,shopping bags,shopping bags,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
citrus fruit,chicken,,,,,,,,,
berries,other vegetables,,,,,,,,,
coffee,yogurt,oil,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
root vegetables,waffles,,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
white wine,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
grapes,chicken,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
grapes,zwieback,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
cat food,roll products ,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
frozen vegetables,pip fruit,hygiene articles,,,,,,,,
liver loaf,vinegar,whole milk,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
root vegetables,bottled water,whipped/sour cream,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
root vegetables,frozen potato products,dental care,,,,,,,,
pasta,root vegetables,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
canned beer,soda,,,,,,,,,
rolls/buns,pork,,,,,,,,,
butter,domestic eggs,,,,,,,,,
pork,sugar,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
pork,rolls/buns,,,,,,,,,
soda,soda,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
sausage,canned beer,,,,,,,,,
chicken,root vegetables,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
soap,hard cheese,,,,,,,,,
soda,pastry,,,,,,,,,
soda,oil,,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
cream cheese ,soda,,,,,,,,,
salty snack,tropical fruit,bottled beer,rolls/buns,chocolate,,,,,,
soft cheese,cream cheese ,,,,,,,,,
pork,napkins,,,,,,,,,
bottled water,fruit/vegetable juice,cat food,,,,,,,,
chicken,male cosmetics,,,,,,,,,
pet care,butter milk,,,,,,,,,
soda,zwieback,,,,,,,,,
pickled vegetables,canned beer,,,,,,,,,
napkins,pastry,,,,,,,,,
canned beer,newspapers,,,,,,,,,
cream cheese ,rice,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
bottled beer,dog food,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
meat,sugar,margarine,cat food,,,,,,,
frankfurter,canned beer,other vegetables,potato products,,,,,,,
chocolate marshmallow,salt,,,,,,,,,
sausage,brown bread,,,,,,,,,
beef,domestic eggs,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
pork,yogurt,,,,,,,,,
finished products,bottled beer,,,,,,,,,
whole milk,berries,,,,,,,,,
curd,pip fruit,,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
yogurt,jam,,,,,,,,,
organic sausage,rolls/buns,,,,,,,,,
ice cream,yogurt,oil,,,,,,,,
waffles,whipped/sour cream,soda,,,,,,,,
sausage,dessert,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
chocolate,yogurt,,,,,,,,,
citrus fruit,hamburger meat,tea,root vegetables,sugar,shopping bags,,,,,
cat food,yogurt,candy,,,,,,,,
pork,soda,,,,,,,,,
herbs,soups,,,,,,,,,
other vegetables,white bread,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
root vegetables,citrus fruit,soda,,,,,,,,
citrus fruit,beverages,pasta,,,,,,,,
coffee,domestic eggs,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
citrus fruit,grapes,,,,,,,,,
chicken,berries,whipped/sour cream,,,,,,,,
butter milk,soups,canned fruit,,,,,,,,
chicken,house keeping products,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
whole milk,pastry,,,,,,,,,
pork,soda,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
coffee,packaged fruit/vegetables,pickled vegetables,,,,,,,,
cat food,pet care,oil,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
citrus fruit,candy,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
onions,chocolate,,,,,,,,,
grapes,sparkling wine,canned beer,pastry,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
soda,salty snack,,,,,,,,,
hamburger meat,flour,cling film/bags,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
soft cheese,soda,,,,,,,,,
detergent,candy,,,,,,,,,
ice cream,butter,,,,,,,,,
sausage,dessert,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
meat,root vegetables,,,,,,,,,
soda,domestic eggs,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
pastry,rolls/buns,,,,,,,,,
curd,soft cheese,,,,,,,,,
waffles,sugar,,,,,,,,,
whipped/sour cream,whole milk,cream cheese ,napkins,,,,,,,
bottled water,shopping bags,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
butter milk,pet care,,,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
whole milk,chicken,,,,,,,,,
